Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ватаманюк,Володимира,Єгорівна,Жінка,23.10.1933,Продюсер,хутір Новогродівка,"площа Орловський, буд. 106, Богодухів, 41009",071 217 40 23,hannahaidai@example.net
Шелест,Олена,Олександрівна,Жінка,19.10.1951,Пілот,хутір Христинівка,"проспект Грецький, буд. 1, Новий Буг, 28227",+380 37 655-70-29,chornovilnataliia@example.org
Литвин,Ганна,Петрівна,Жінка,22.10.1937,Мистецтвознавець,селище Чорноморськ,"узвіз Садовий, буд. 397 кв. 98, Рудки, 56179",435 77 34,nzasenko@example.com
Байдак,Сніжана,Володимирівна,Жінка,23.10.1932,Ріелтор,хутір Рені,"набережна Гаріна, буд. 366, Броди, 19613",982 73 62,hannatereshchuk@example.com
Акименко,Юхим,Єгорович,Чоловік,24.10.1928,Круп'є,селище Калинівка ,"вулиця Богуна, буд. 147, Новогродівка, 32246",+380 44 848-98-33,demianiefymenko@example.org
Шаблій,Олесь,Петрович,Чоловік,24.10.1930,Круп'є,селище Чугуїв,"провулок Десята, буд. 1 кв. 70, Дружківка, 87551",001 204 23 02,ichuiko@example.org
Матвієнко,Валерій,Михайлович,Чоловік,25.10.1924,Стоматолог,село Тростянець,"сквер Скворцова, буд. 82, Тлумач, 93608",+380 89 931 70 58,martavdovenko@example.org
Черінько,Давид,Сергійович,Чоловік,22.10.1936,М'ясник,селище Куп'янськ,"сквер Рельєфна, буд. 353, Семенівка, 07061",+380 42 360-37-99,chernenkodaryna@example.net
Орлик,Олена,Миколаївна,Жінка,19.10.1949,Нотаріус,селище Лутугине,"шосе Сашка Хорошенка, буд. 15, Бар, 83379",+380 02 728-49-30,shchyrytsiaostap@example.net
Дашенко,Стефан,Олександрович,Чоловік,25.10.1927,Кур'єр,хутір Ялта,"узвіз Кришталева, буд. 38, Енергодар, 46127",207-32-71,maksym59@example.org
Андрієнко,Орина,Єгорівна,Жінка,20.10.1946,Секретар,селище Шаргород,"сквер Літакова, буд. 6 кв. 55, П'ятихатки, 22782",+380 38 944 98 19,malyshkoemiliia@example.net
Данькевич,Владислав,Єгорович,Чоловік,19.10.1948,Кінолог,село Куп'янськ,"шосе Сабанський, буд. 0 кв. 83, Мерефа, 24604",506-82-04,spashunko@example.org
Христич,Камілла,Андріївна,Жінка,22.10.1936,Ветеринар,місто Славутич,"провулок Амурський 3-й, буд. 68 кв. 49, Решетилівка, 49572",+380 07 468-44-98,nkanivets@example.net
Теліженко,Григорій,Іванович,Чоловік,19.10.1948,Юрист,місто Токмак,"набережна Нафтовиків 3-й, буд. 4 кв. 9, Оріхів, 56560",+380 35 281-67-08,okhrimenkoopanas@example.com
Абрагамовський,Пантелеймон,Єгорович,Чоловік,21.10.1940,Фотограф,хутір Ровеньки,"площа Лінія 26-та, буд. 96, Чернівці, 87628",885 23 92,viktoriiabarabash@example.com
Івасюк,Софія,Іванівна,Жінка,19.10.1951,Скульптор,село Рубіжне,"сквер Скляний 2-й, буд. 22, Володимир-Волинський, 50839",+380 91 347 17 62,hermanzasiadko@example.net
Вовк,Орхип,Дмитрович,Чоловік,21.10.1941,Кінокритик,місто Білогірськ,"шосе Успенська, буд. 18 кв. 309, Таврійськ, 88579",+380 (88) 845-51-04,fastenkoiaroslav@example.org
Яремків,Аніта,Іванівна,Жінка,25.10.1924,Хореограф,село Жмеринка,"вулиця Мусіна, буд. 07 кв. 962, Богуслав, 60222",020 478-89-05,heorhiiustenko@example.com
Деревʼянко,Ольга,Сергіївна,Жінка,23.10.1935,Каскадер,хутір Сокаль,"шосе Нежданової, буд. 28, Новоукраїнка, 81849",+380 61 109 99 82,korzhrostyslav@example.net
Девдюк,Ярема,Сергійович,Чоловік,24.10.1929,Ді-джей,хутір Коростень,"проспект Басейний 1-й, буд. 1 кв. 9, Вільнянськ, 31861",+380 (60) 731-79-39,devdiukiarema@example.net
Стець,Роман,Миколайович,Чоловік,22.10.1938,Стоматолог,хутір Роздільна,"парк Вільгельма Габсбурга, буд. 1, Ясинувата, 50431",759 00 91,gandriichuk@example.com
Хоменко,Мілена,Михайлівна,Жінка,23.10.1935,Кінорежисер,село Подільськ,"набережна Дубова, буд. 16 кв. 68, Українка , 96262",+380 75 001-32-94,ovoblyi@example.com
Скиба,Ганна,Єгорівна,Жінка,24.10.1928,Промисловець,місто Червоносів,"набережна Студентський 1-й, буд. 1 кв. 062, Білопілля, 72927",+380 55 920 87 08,roman71@example.org
Воблий,Ольга,Дмитрівна,Жінка,23.10.1934,Мовознавець,хутір Андрушівка,"набережна Пересипська 8-ма, буд. 961 кв. 33, Герца, 70297",+380 08 209 25 75,ustenkodavyd@example.org
Сірко,Мілена,Єгорівна,Жінка,22.10.1937,Режисер,селище Городня,"сквер 40-річчя оборони Одеси, буд. 0 кв. 14, Сорокине, 98574",023 018 80 69,bohdanna66@example.org
Парасюк,Леон,Іванович,Чоловік,23.10.1934,Фотограф,село Бобринець,"парк Магнітогорський 3-й, буд. 3, Звенигородка, 69097",+380 21 179-36-50,milenazasukha@example.net
Сагаль,Тимофій,Михайлович,Чоловік,18.10.1952,Редактор,хутір Камінь-Каширський,"площа Недєліна, буд. 067, Бахмут, 67735",014 201-59-01,pavlo85@example.net
Бабариченко,Прохір,Дмитрович,Чоловік,25.10.1925,Правник,місто Ровеньки,"шосе Проектований 4-й, буд. 086, Кременчук, 78555",+380 63 744-00-74,bshchyrytsia@example.net
Чорновіл,Соломія,Миколаївна,Жінка,19.10.1950,Геофізик,хутір Путивль,"вулиця Отрадна, буд. 058 кв. 6, Ямпіль, 15485",834 05 41,hlib75@example.com
Тарасенко,Алевтин,Олександрович,Чоловік,25.10.1924,Програміст,хутір Пологи ,"парк Марата, буд. 1, Золотоноша, 33135",+380 10 530-60-44,paliimilena@example.org
Баран,Омелян,Єгорович,Чоловік,22.10.1937,Секретар,селище Новий Розділ,"шосе Мічуріна, буд. 03, Нова Одеса, 85270",+380 (44) 311-43-54,karmaliukmykolai@example.net
Рак,Миколай,Володимирович,Чоловік,22.10.1938,Співак,село Козятин,"площа Керченський 2-й, буд. 7 кв. 36, Красилів, 51335",069-71-45,bdanko@example.org
Чекалюк,Лукʼян,Миколайович,Чоловік,22.10.1937,Продюсер,місто Мар'їнка,"сквер Посмітного, буд. 940 кв. 461, Святогірськ, 06821",087 846 13 50,gshelest@example.com
Конопленко,Орина,Єгорівна,Жінка,23.10.1933,Головний меркшейдер,село Мар'їнка,"шосе Північна, буд. 5 кв. 5, Черкаси, 25717",622 82 75,liliiaierchenko@example.net
Теличенко,Лесь,Єгорович,Чоловік,23.10.1934,Підприємець,місто Вознесенівка,"проспект Рибальська балка, буд. 512, Городня, 44612",+380 (63) 309-81-71,marusiavdovenko@example.org
Василашко,Гаврило,Єгорович,Чоловік,20.10.1946,Співак,місто Мерефа,"сквер Сергія Уточкіна, буд. 43 кв. 3, Дружківка, 51857",+380 (91) 157-71-44,idavymuka@example.org
Сагаль,Варфоломій,Іванович,Чоловік,25.10.1925,Євнух,селище Олешки,"вулиця Макова, буд. 50 кв. 24, Саки , 03590",050 191 50 14,vira99@example.org
Цушко,Олег,Іванович,Чоловік,24.10.1929,Електрик,село Гірське,"вулиця Нова, буд. 2 кв. 608, Шпола, 68072",+380 29 450-51-86,tymchenkoruslan@example.com
Дуплій,Владислав,Дмитрович,Чоловік,20.10.1946,Фольклорист,селище Подільськ,"провулок Тополиний, буд. 73 кв. 11, Коломия, 13863",+380 74 678-31-50,onysym42@example.net
Величко,Августин,Михайлович,Чоловік,20.10.1947,Пілот,селище Скалат,"шосе Білоруська, буд. 699, Жидачів, 59957",675 09 71,zabaraprokhir@example.com
Гоголь-Яновський,Вадим,Михайлович,Чоловік,21.10.1942,Гірник,селище Первомайськ,"шосе Чорноморський 12-й, буд. 547, Лиман , 45153",003 867-08-86,karpenkoles@example.net
Сіробаба,Галина,Олександрівна,Жінка,22.10.1937,Електрик,село Армянськ,"сквер Чапаєва, буд. 87 кв. 347, Богодухів, 22409",+380 (36) 527-38-09,kbaran@example.com
Величко,Степан,Володимирович,Чоловік,24.10.1928,Доцент,селище Глобине,"вулиця Прорізний, буд. 587, Алчевськ, 15946",055 547 79 90,lazarenkoheorhii@example.com
Матяш,Левко,Єгорович,Чоловік,21.10.1943,Няня,місто Снігурівка,"проспект Фабрична, буд. 1 кв. 25, Павлоград, 02677",042 974-76-33,jchalyi@example.com
Бабак,Охрім,Володимирович,Чоловік,20.10.1946,Каскадер,місто Тлумач,"сквер Садовського, буд. 249 кв. 35, Алупка, 80233",+380 64 976-27-10,volodymyra04@example.com
Аверченко,Адам,Єгорович,Чоловік,20.10.1944,Редактор,хутір Кагарлик,"площа Миколи Гефта, буд. 864, Перещепине, 47447",087 51 53,pylyp59@example.com
Шахрай,Тереза,Володимирівна,Жінка,24.10.1930,Кінорежисер,місто Скалат,"сквер Маршала Бабаджаняна, буд. 031 кв. 4, Гребінка, 03167",978-98-61,boleslavtsarenko@example.com
Базавлученко,Адам,Іванович,Чоловік,25.10.1924,Гицель,село Червоносів,"узвіз Сміливий, буд. 7, Тростянець, 61234",+380 27 675-09-54,savenkoandrii@example.com
Шовкопляс,Світлана,Миколаївна,Жінка,21.10.1942,Мистецтвознавець,місто Ніжин,"сквер Морехідна, буд. 4, Жовква, 80840",040 170-30-00,liliiarebryk@example.com
Батуринець,Устим,Єгорович,Чоловік,22.10.1936,Мікробіолог,хутір Новий Буг,"вулиця Перший Кришталевий, буд. 69 кв. 13, Прилуки, 39273",077 106-07-00,hennadiipushkar@example.com
Щириця,Віолетта,Михайлівна,Жінка,19.10.1951,Живописець,село Татарбунари,"провулок Моторний 1-й, буд. 39 кв. 41, Чорнобиль, 89292",018 465-07-51,pavlykiaroslava@example.org
Годунок,Наталія,Петрівна,Жінка,24.10.1931,Кінолог,село Чуднів,"площа Басейний 1-й, буд. 522 кв. 81, Українськ, 28737",+380 88 086-35-68,mariiavernyhora@example.net
Ящук,Соломія,Андріївна,Жінка,23.10.1934,Модель,хутір Чоп,"площа Сєченова, буд. 38, Вільнянськ, 63847",340 99 53,shvaikazakhar@example.net
Закусило,Маруся,Олександрівна,Жінка,21.10.1943,Ді-джей,місто Хмільник,"узвіз Вапняна, буд. 8, Остер , 96200",+380 87 364 67 84,davydlavrenko@example.org
Карась,Леон,Єгорович,Чоловік,21.10.1941,Провізор,місто Путивль,"парк Моторний 3-й, буд. 5, Харцизьк, 35216",504 23 90,solomiiadanchuk@example.net
Шахрай,Аліна,Петрівна,Жінка,24.10.1928,Футболіст,хутір Хотин,"узвіз Лип Івана та Юрія, буд. 874 кв. 9, Рівне, 31480",591-73-35,anita90@example.org
Ґереґа,Марія,Андріївна,Жінка,22.10.1939,Пекар,хутір Болехів,"вулиця Наливна, буд. 291, Кам'янка-Дніпровська, 05388",+380 06 661 95 85,ielyseizaruba@example.org
Яременко,Орися,Єгорівна,Жінка,21.10.1940,Редактор,селище Рені,"узвіз Дев’ята, буд. 44 кв. 296, Зоринськ, 27458",736-35-22,dubenkoklyment@example.net
Заїка,Дмитро,Миколайович,Чоловік,19.10.1948,Швачка,місто Докучаєвськ,"парк Софіївська, буд. 67, Золотоноша, 72405",+380 70 371-35-27,rostyslav52@example.com
Колесниченко,Григорій,Дмитрович,Чоловік,22.10.1938,Візажист,хутір Саки ,"вулиця Зелений, буд. 98 кв. 75, Сулимівка (Слов'янськ), 04485",017 423 06 99,petromasokha@example.org
Ейбоженко,Тимофій,Сергійович,Чоловік,21.10.1940,Випробувач,селище Чоп,"провулок Садова 2-га, буд. 329, Тростянець, 27052",+380 (96) 187-72-87,qrubets@example.net
Балабан,Марта,Дмитрівна,Жінка,26.10.1923,Нотаріус,місто Білопілля,"сквер Колекційна, буд. 720 кв. 4, Прип'ять , 57093",+380 (79) 788-49-91,anastasiia32@example.org
Іваничук,Галина,Сергіївна,Жінка,21.10.1940,Електромонтажник,хутір Любомль,"шосе Сабанський, буд. 83 кв. 080, Ковель, 29788",410-84-68,gsvyrydenko@example.net
Твердохліб,Клавдія,Андріївна,Жінка,19.10.1950,Паралегал,село Ялта,"узвіз Льва Симиренка, буд. 747 кв. 3, Малин, 51465",+380 06 228-76-70,pivanchenko@example.com
Ґерус,Лариса,Володимирівна,Жінка,23.10.1935,Промисловець,селище Гребінка,"сквер Проценка, буд. 298 кв. 8, Первомайський , 13375",+380 53 537 94 42,iakivdziuba@example.net
Малишко,Дарина,Дмитрівна,Жінка,20.10.1945,Хімік,хутір Монастириська,"парк Кар’єрна, буд. 026 кв. 7, Кам'янка (Черкаська область), 54311",+380 (05) 201-58-70,cherinkomarusia@example.net
Вертипорох,Ярема,Миколайович,Чоловік,20.10.1947,Піаніст,місто Іршава,"вулиця Магнітогорський, буд. 28 кв. 0, Сімферополь, 57521",+380 15 756-80-00,liubov14@example.net
Даценко,Станіслав,Андрійович,Чоловік,21.10.1943,Паблік рилейшнз,село Миколаїв,"узвіз Салтикова-Щедріна, буд. 672 кв. 5, Заставна, 75045",+380 15 780 78 00,azar68@example.com
Єсипенко,Варвара,Олександрівна,Жінка,19.10.1951,Мірошник,хутір Привілля,"провулок Радісний, буд. 9 кв. 0, Торецьк, 49256",007 605-04-21,roman41@example.net
Дахно,Пармен,Сергійович,Чоловік,19.10.1951,Геофізик,хутір Бурштин ,"шосе Військовий узвіз, буд. 225 кв. 90, Берестечко, 87009",046 823-69-75,iderehus@example.org
Гупало,Вікторія,Миколаївна,Жінка,18.10.1952,Педагог,селище Нікополь,"набережна Восьмого березня узвіз, буд. 954, Благовіщенське, 31046",+380 15 910 88 53,shvaikasnizhana@example.org
Дейнека,Святослава,Єгорівна,Жінка,25.10.1926,Промисловець,селище Виноградів,"провулок Лузанівський 2-й, буд. 9, Жидачів, 82379",+380 56 280 74 04,chuk@example.org
Гузь,Емілія,Олександрівна,Жінка,24.10.1931,Кіноактор,місто Алупка,"провулок Курганська, буд. 772 кв. 74, Ровеньки, 49225",+380 (70) 131-90-35,nosachenkovasyl@example.net
Стус,Наталія,Андріївна,Жінка,23.10.1933,Провізор,хутір Новгород-Сіверський,"шосе Дальня, буд. 388 кв. 3, Красногорівка, 18829",652-51-52,leonidandreiko@example.org
Макаренко,Алла,Сергіївна,Жінка,25.10.1924,Кінолог,село Івано-Франківськ,"узвіз Басейний 1-й, буд. 0, Корсунь-Шевченківський, 72398",082 827 32 48,fbevz@example.com
Габелко,Григорій,Петрович,Чоловік,19.10.1948,Музикант,місто Торецьк,"набережна Агрономічний, буд. 8 кв. 313, Зміїв, 04161",595-57-93,bohdannavasylenko@example.com
Забарний,Ігор,Володимирович,Чоловік,23.10.1935,Геолог,селище Куп'янськ,"шосе Сухолиманна, буд. 671 кв. 6, Оріхів, 82411",326-90-07,dmytro96@example.com
Копитко,Спас,Миколайович,Чоловік,23.10.1934,Науковець,селище Луганськ,"площа Проектний 5-й, буд. 13 кв. 86, Олевськ, 45472",+380 55 792 04 73,anastasiiarudyk@example.net
Гуцуляк,Йосип,Іванович,Чоловік,21.10.1943,Модель,місто Чигирин,"набережна Сергія Уточкіна, буд. 22, Зміїв, 43877",060 664-91-70,shamraiaaron@example.com
Безбородько,Федір,Володимирович,Чоловік,23.10.1935,Зоолог,місто Красилів,"провулок Лінія 31-ша, буд. 3, Щастя , 24139",362-64-23,alevtyn93@example.net
Юрчук,Святослава,Сергіївна,Жінка,19.10.1948,Соціолог,селище Корсунь-Шевченківський,"парк Любашівський, буд. 2 кв. 343, Полонне, 39784",+380 81 081-67-89,milena76@example.org
Непорожній,Борислав,Іванович,Чоловік,22.10.1938,Акушер,селище Курахове,"площа Лінія 29-та, буд. 4 кв. 48, Залізне, 70421",847 57 51,illiasvystun@example.net
Гаврилюк,Пилип,Іванович,Чоловік,22.10.1937,Паралегал,село Шостка,"набережна Чернігівський, буд. 5 кв. 67, Зугрес, 80343",+380 13 482-77-62,zynovii64@example.net
Шморгун,Олександр,Андрійович,Чоловік,19.10.1948,Гірничий інженер,село Авдіївка,"узвіз Проценка, буд. 44, Красноперекопськ, 82059",128 36 34,hordiivashchuk@example.net
Заєць,Надія,Андріївна,Жінка,20.10.1946,Електромонтажник,місто Дубно,"парк 5-та Лінія Марії Демченко, буд. 6, Апостолове, 08779",540 87 11,leonidshevchenko@example.net
Непорожній,Дан,Андрійович,Чоловік,23.10.1934,Математик,хутір Новий Калинів,"сквер Михайла Грушевського, буд. 1, Білгород-Дністровський, 32207",572 86 13,marko85@example.com
Дробʼязко,Зорян,Іванович,Чоловік,25.10.1926,Бібліотекар,селище Тячів,"узвіз Лінія 51-ша, буд. 0, Коростишів, 48583",685 94 89,hryhorii39@example.com
Сірко,Златослава,Петрівна,Жінка,26.10.1923,Сценарист,місто Турка,"провулок 4-та Лінія Марії Демченко, буд. 3, Теплодар, 35714",+380 34 327-33-42,roksolanaartemenko@example.com
Рева,Панас,Сергійович,Чоловік,20.10.1944,Мінералог,село Деражня,"парк Бузковий 2-й, буд. 30, Хирів, 39473",060 859 89 78,emiliia89@example.org
Затула,Аарон,Андрійович,Чоловік,22.10.1938,Льотчик,село Зборів,"шосе Каховський, буд. 202, Вільногірськ, 49937",+380 (43) 305-41-60,hlibartymovych@example.org
Терещенко,Василь,Єгорович,Чоловік,22.10.1939,Намотувальник,село Алупка,"парк Соляний 7-й, буд. 23 кв. 3, Баранівка, 32602",+380 (14) 557-33-48,frankomarko@example.org
Овчаренко,Еріка,Петрівна,Жінка,23.10.1932,Фольклорист,хутір Довжанськ,"шосе Зої Космодем’янської, буд. 73 кв. 4, Прип'ять , 59216",077 843-06-40,varfolomii18@example.net
Демиденко,Болеслав,Дмитрович,Чоловік,19.10.1950,Піаніст,селище Гірник ,"шосе Плієва, буд. 1, Бар, 30150",+380 55 487-29-43,violetta94@example.org
Гайдай,Варвара,Володимирівна,Жінка,19.10.1949,Електрик,селище Шепетівка,"парк Поштова, буд. 689, Суходільськ, 52635",+380 39 119 40 50,stusievhen@example.com
Приходько,Миколай,Михайлович,Чоловік,19.10.1948,М'ясник,селище Марганець ,"шосе Посмітного, буд. 80 кв. 52, Городня, 68147",+380 29 142 91 17,bohdannaiemets@example.net
Іщак,Борис,Володимирович,Чоловік,23.10.1932,Економіст,село Підгородне,"набережна Лютневий 2-й, буд. 4 кв. 8, Хмільник, 06207",+380 (17) 086-24-24,oleksasirchenko@example.org
Щириця,Онисим,Андрійович,Чоловік,23.10.1934,Астронавт,хутір Тальне,"вулиця Посівна, буд. 285, Верхньодніпровськ, 90745",+380 89 662-50-34,olena78@example.com
Бабійчук,Амвросій,Дмитрович,Чоловік,20.10.1946,Патологоанатом,село Петрово-Красносілля,"провулок Історія Футболу, буд. 20 кв. 56, Герца, 71563",+380 (52) 483-65-01,shyianazar@example.org
Удовенко,Ігнат,Андрійович,Чоловік,20.10.1945,Ді-джей,місто Надвірна,"вулиця Степана Олійника узвіз, буд. 273 кв. 944, Щолкіне, 36661",015 575 91 06,sfomenko@example.net
Рябець,Мартин,Сергійович,Чоловік,20.10.1945,Круп'є,місто Новоукраїнка,"провулок Дальницька, буд. 728 кв. 5, Бобринець, 04420",+380 18 641-94-67,havrylo49@example.net
Бабенко,Валентин,Сергійович,Чоловік,22.10.1939,Бухгалтер,село Новоград-Волинський,"площа Хаджибейський 2-й, буд. 2 кв. 7, Новодністровськ, 76971",082 654-93-10,nosachenkoruslan@example.com
Акименко,Аврелій,Олександрович,Чоловік,22.10.1936,Хореограф,хутір Кальміуське,"проспект Дністровська, буд. 312 кв. 963, Суми, 96749",+380 96 814-92-98,irena37@example.com
Жайворон,Тетяна,Петрівна,Жінка,24.10.1929,Перекладач,місто Старобільськ,"парк Тополиний, буд. 68, Костопіль, 39856",+380 92 060 41 34,lukian40@example.org
Данькевич,Спас,Сергійович,Чоловік,20.10.1945,Дизайнер,селище Мала Виска,"провулок Псковський, буд. 7, Камінь-Каширський, 30424",+380 (96) 161-89-54,usykkamilla@example.org
Матяш,Климент,Єгорович,Чоловік,22.10.1936,Художник,місто Боярка,"шосе Чорноморський 8-й, буд. 98 кв. 996, Кіцмань, 77402",+380 53 077-57-34,marta83@example.net
Бевзенко,Єва,Михайлівна,Жінка,20.10.1945,Ювелір,село Новгород-Сіверський,"набережна Квіткова, буд. 20, Дунаївці, 94329",+380 61 373-15-49,bsych@example.org
Журавель,Святослав,Іванович,Чоловік,21.10.1941,Машиніст,село Коростень,"набережна Гладкова, буд. 57, Білицьке, 11882",+380 89 014-94-72,havrylo42@example.org
Балабан,Варфоломій,Михайлович,Чоловік,19.10.1951,Фізик,місто Нове Давидково,"набережна Яхненка Семена, буд. 5, Новий Калинів, 58285",712 53 87,avakhnii@example.com
Бездітко,Ада,Олександрівна,Жінка,24.10.1930,Намотувальник,село Дрогобич,"шосе Михайлівська, буд. 329, Тисмениця, 21698",+380 43 913-93-47,bohdanmakohon@example.org
Шморгун,Вадим,Іванович,Чоловік,22.10.1937,Петрограф,хутір Мукачево,"вулиця Чорноморський 2-й, буд. 2 кв. 101, Ізмаїл, 63678",+380 36 198 58 68,sliusaramvrosii@example.net
Баранець,Семен,Єгорович,Чоловік,20.10.1944,Мінералог,село Охтирка,"вулиця Різовська, буд. 49 кв. 2, Борщів, 10475",039 702-62-15,ostapmedvedenko@example.org
Орлик,Ірина,Іванівна,Жінка,24.10.1930,Маркетолог,місто Хотин,"парк Академіка Векслера, буд. 7 кв. 90, Сімферополь, 35432",+380 54 325 82 83,tkacharsen@example.org
Дейсун,Остап,Володимирович,Чоловік,25.10.1927,Прокурор,село Подільськ,"набережна Бабеля, буд. 1 кв. 209, Бердянськ, 53749",+380 25 499-70-37,chuikoomelian@example.org
Бебешко,Ганна,Олександрівна,Жінка,24.10.1931,Бухгалтер,хутір Нова Каховка,"шосе Грецький, буд. 5, Борщів, 96833",851-18-47,maryna98@example.net
Яремчук,Георгій,Сергійович,Чоловік,26.10.1923,Кушнір,селище Бар,"парк Куяльницький міст, буд. 31, Зіньків, 85303",+380 95 673-53-57,vysochanielysei@example.org
Олійник,Михайлина,Володимирівна,Жінка,23.10.1933,Геолог,хутір Калуш,"парк Щіпний, буд. 8, Зеленодольськ, 59340",035 190 50 56,lchumachenko@example.net
Ляшко,Христина,Олександрівна,Жінка,21.10.1942,Слідчий,село Хрустальний,"провулок Красних Зорь, буд. 2, Овруч, 87693",079 90 59,vdzhus@example.net
Редько,Олесь,Єгорович,Чоловік,20.10.1946,Складальник,село Щастя ,"сквер Куяльницький міст, буд. 380 кв. 005, Прип'ять , 16701",+380 (06) 666-58-45,hlukash@example.com
Гайденко,Роксолана,Єгорівна,Жінка,24.10.1929,Астрофізик,хутір Василівка ,"площа Нова, буд. 057, Святогірськ, 51022",943 99 98,vdovenkonestor@example.net
Ґалаґан,Ігнат,Володимирович,Чоловік,21.10.1942,Секретар,селище Вараш,"вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 340 кв. 110, Борщів, 25833",+380 71 440 49 31,huzenkopetro@example.net
Гоголь,Тимофій,Михайлович,Чоловік,21.10.1942,Нотаріус,місто Щолкіне,"вулиця Пiвденний, буд. 1, Мукачево, 50576",835 53 59,kopytkovasyl@example.net
Кабаненко,Еріка,Єгорівна,Жінка,25.10.1924,Гірник,селище Тульчин,"сквер 8-ма Суворовська, буд. 07, Чигирин, 48406",+380 68 909 84 88,mchumachenko@example.org
Ковпак,Борис,Андрійович,Чоловік,19.10.1951,Літературознавець,хутір Жданівка,"проспект Івана Микитенка, буд. 9 кв. 32, Дубляни, 67990",+380 (83) 965-64-40,candroshchuk@example.org
Романчук,Вʼячеслав,Дмитрович,Чоловік,20.10.1945,Правник,село Христинівка,"набережна Хаджибейський 2-й, буд. 39 кв. 9, Гнівань, 76617",016 974-84-98,ytalan@example.com
Чалий,Ліза,Миколаївна,Жінка,20.10.1946,Гірник,хутір Перещепине,"парк Сабанєєв, буд. 544, Лутугине, 07029",075 381-14-91,larysa29@example.com
Іваничук,Геннадій,Андрійович,Чоловік,22.10.1939,Фрілансер,селище Федорівка,"узвіз Буніна, буд. 2, Турка, 19311",990 10 91,wbezborodky@example.com
Зайченко,Болеслав,Сергійович,Чоловік,22.10.1937,Графік,місто Лозова ,"парк Студентський 5-й, буд. 892, Борщів, 38903",+380 (17) 907-62-91,avrelii68@example.com
Худобʼяк,Франц,Сергійович,Чоловік,20.10.1944,Електрослюсар,селище Мар'їнка,"парк Єліна, буд. 49, Полтава, 74346",487-58-30,iakovenkoalla@example.org
Бабʼюк,Антон,Сергійович,Чоловік,21.10.1941,Головний меркшейдер,село Зугрес,"сквер Китобійний 2-й, буд. 3 кв. 312, Слов'янськ, 50635",+380 (96) 681-84-88,levko51@example.net
Єфименко,Аніта,Єгорівна,Жінка,23.10.1935,Флорист,селище Тисмениця,"сквер Довга, буд. 74 кв. 72, Татарбунари, 40489",340 51 63,dannaudovenko@example.org
Алексійчук,Любов,Михайлівна,Жінка,20.10.1947,Кінорежисер,місто Володимир-Волинський,"сквер Карпатська, буд. 2, Алчевськ, 17070",+380 56 568-52-21,atokar@example.com
Коваленко,Ігнат,Петрович,Чоловік,23.10.1934,Диригент,село Миколаївка ,"узвіз Вишнева, буд. 077, Львів, 59331",045 918 82 80,dan04@example.net
Зарудний,Одарка,Сергіївна,Жінка,24.10.1930,Флорист,хутір Біляївка,"парк Городня, буд. 9 кв. 83, Ворожба, 82456",026 89 27,vasyl98@example.org
Теличенко,Зорян,Михайлович,Чоловік,22.10.1939,Кушнір,селище Карлівка,"шосе Світанку, буд. 6 кв. 23, Сімферополь, 78277",+380 64 003-72-05,dbarabash@example.com
Ірванець,Ольга,Михайлівна,Жінка,25.10.1926,Режисер,селище Новгород-Сіверський,"провулок Леваневського тупик, буд. 38, Полонне, 41236",029 608 09 52,odarkazinchenko@example.net
Цюпа,Валентина,Сергіївна,Жінка,23.10.1933,Паблік рилейшнз,село Іловайськ,"провулок Сергія Ейзенштейна, буд. 28, Щолкіне, 54431",+380 05 408-81-17,hadamenko@example.com
Євтушок,Еріка,Дмитрівна,Жінка,20.10.1946,Письменник,місто Старий Крим,"провулок Харківська, буд. 4 кв. 377, Вараш, 63104",017 125 95 56,iaroslav61@example.org
Артеменко,Спас,Сергійович,Чоловік,23.10.1935,Фізик,хутір Стебник,"проспект Вільгельма Габсбурга, буд. 7 кв. 142, Федорівка, 55182",041 300-39-62,verestereza@example.com
Черінько,Опанас,Сергійович,Чоловік,20.10.1946,Доцент,хутір Ананьїв,"вулиця Рельєфна, буд. 836 кв. 068, Турка, 43799",062 549 45 49,kostiantynskyrda@example.org
Василенко,Варвара,Іванівна,Жінка,20.10.1944,Біолог,хутір Яворів,"шосе Улітіна, буд. 642 кв. 404, Ковель, 44986",+380 37 761 66 50,abramenkoostap@example.org
Данченко,Галина,Сергіївна,Жінка,21.10.1943,Кур'єр,хутір Соледар,"проспект Олександра Вронського, буд. 492, Часів Яр, 26989",045 203 35 25,nandriishyn@example.com
Литвин,Єлисавета,Андріївна,Жінка,24.10.1930,Ріелтор,місто Лутугине,"проспект Рівності, буд. 2, Севастополь, 65102",300-21-78,xtereshchenko@example.net
Шамрай,Роман,Володимирович,Чоловік,26.10.1923,Клоун,село Балаклія,"набережна Салтикова-Щедріна, буд. 709, Калуш, 01043",+380 53 522 76 45,zynovii98@example.org
Пелех,Богуслава,Сергіївна,Жінка,20.10.1945,Пілот,селище Ковель,"шосе Крушельницької, буд. 54 кв. 217, Городок, 33783",024 214 93 26,boleslav50@example.net
Андрейко,Єлисавета,Іванівна,Жінка,20.10.1945,Фізик,село Херсон,"набережна Канатний, буд. 73, Середина-Буда, 92079",+380 10 342-47-79,chervonenkomartyn@example.org
